,AnimalName,symptoms1,symptoms2,symptoms3,symptoms4,symptoms5,Dangerous
0,dog,fever,diarrhea,vomiting,weight loss,dehydration,Yes
1,dog,fever,diarrhea,coughing,tiredness,pains,Yes
2,dog,fever,diarrhea,coughing,vomiting,anorexia,Yes
3,dog,fever,difficulty in breathing,coughing,lethargy,sneezing,Yes
4,dog,fever,diarrhea,coughing,lethargy,blue eye,Yes
5,dog,fever,respiratory distress,seizuers,hyperesthesia,sudden death,Yes
6,dog,ulcers,diarrhea,poor appetite,tarry stool,enlarged lymph nodes,Yes
7,dog,facial swelling,bloody drool,foul breath,unable to eat,lossened teeth,Yes
8,dog,fever,difficulty in breathing,thrist and urination,weight loss,enlarged lymph nodes or swelling,Yes
9,dog,swelling on leg,painfull,nasal discharge,broken bones,nasal discharge,Yes
10,dog,short term lethargy,loss of  appetite,weekness in the back legs,rapid heart rate,week pulse,Yes
11,dog,swollen lymph nodes,difficulty in walking,back pain,lethargy,vaginal discharge,Yes
12,dog,fever,diarrhea,abdominal pain,stiffness,severe weekness and depression,Yes
13,dog,fever,loss of  appetite,reduce energy,lameness,swelling of joints,Yes
14,dog,fever,chronic eye inflamation,poor appetite,lethargy,neurologic abnormalities,Yes
15,dog,fever,swelling of face or leg,poor appetite,depression,pains,Yes
16,dog,diarrhea with muscus,tensemus,watery stool,flatulence,pains,Yes
17,dog,strong cough,runny nose,sneezing,lethargy,loss of appettite,Yes
18,dog,fever,inflammed eye,coughing,depression,limping,Yes
19,dog,fever,difficulty in breathing,coughing,eye and skin change,unable to exercise,Yes
20,dog,fever,loss of  appetite,coughing,lethargy,joint pain,Yes
21,dog,lesions in the nasal cavity,lesions on nose,nose bleeds,noisy breathing,lesions on nose,Yes
22,dog,hair loss,dandruff,darkened skin,crusting of the skin,ulcerated skin,Yes
23,dog,greenish yellow nasal discharge,lack of pigmentation,sneezing,lethargy,pain on face,Yes
24,dog,fever,diarrhea,poor appetite,weight loss,vomitting,Yes
25,dog,jaundice,pneumonia,lession on the skin,pain,vomitting,Yes
26,dog,poor coat apperence,diarrhea,vomiting,weight loss,dehydration,Yes
27,dog,watering,no appp,vomiting,lethargy,dehydration,Yes
28,dog,straining,diarrhea,vomiting,weight loss,blindness,Yes
29,dog,upset stomach,diarrhea,vomiting,muscle pain,muscle stiffness,Yes
30,dog,upset stomach,diarrhea,coughing,weight loss,anaemia,Yes
31,dog,allergic reaction,poor appetite,coughing,weight loss,distended chest,Yes
32,dog,fever,anoxeria,weight loss,lethargy,pain,Yes
33,dog,limping,willnot run to jump,swelling,week legs,pain on leg,Yes
34,cat,fever,eye ulcer,congestion,depression,pink eye,Yes
35,cat,pnemonia,loss of  appetite,eye disharge,lameness,arthritis,Yes
36,cat,fever,seizures,hydrophobia,jaw is dropped,shyness or aggression,Yes
37,cat,bloody urine,difficulty in breathing,vomiting,weight loss,anorexia,Yes
38,cat,loss of eat,difficulty in breathing,swelling,lameness,neurologic abnormalities,Yes
39,cat,dark or black face,diarrhea,vomiting,blood in faces,pain,Yes
40,cat,jaundice,difficulty in breathing,seizuers,lethargy,pale gums,Yes
41,cat,appetite varies,diarrhea,vomiting,weight loss,pain,Yes
42,cat,loss of eat,fell unwell,lethargy,weight loss,skin issue,Yes
43,cat,sickness,loss of  appetite,vomiting,weight loss,raised growth or bump,Yes
44,cat,nasal bleeding,diffulty chewing,swelling,weight loss,anorexia,Yes
45,cat,ulcers,lesions,scabs,lumps,bumps black grey or red ,Yes
46,cat,gasc,loss of  appetite,blood in stool,stomach growling,black stool,Yes
47,cat,shaking head,scartching ear,black on ear,bad smell,red and inflammation ear,Yes
48,cat,attacks,loss of  appetite,coughing,weight loss,periodic vommiting,Yes
49,cat,blood stool,diarrhea,coughing,weight loss,anemia,Yes
50,cat,nasal discharge,nosebleeds,inflamed nostrils,sneezing,lound breathing,Yes
51,cat,polyuria,loss of  appetite,vomiting,weight loss,polydipsa,Yes
